threshold_set,window_s,metric,count,fraction,median_latency_s,subjects_with_action
lenient,1,steer_response,321,0.856,0.2600000000000051,20
lenient,1,brake_response,81,0.216,0.384999999999998,17
lenient,1,accelerator_release,165,0.44,0.17000000000001592,22
lenient,1,accelerator_increase,143,0.38133333333333336,0.10000000000002274,20
lenient,1,no_clear_response,24,0.064,,14
lenient,2,steer_response,349,0.9306666666666666,0.2949999999999591,21
lenient,2,brake_response,152,0.4053333333333333,0.9684999999999988,20
lenient,2,accelerator_release,197,0.5253333333333333,0.2849999999999966,23
lenient,2,accelerator_increase,174,0.464,0.1950000000000216,21
lenient,2,no_clear_response,7,0.018666666666666668,,5
lenient,3,steer_response,356,0.9493333333333334,0.29750000000001364,21
lenient,3,brake_response,180,0.48,1.1574999999999989,21
lenient,3,accelerator_release,204,0.544,0.3200000000000003,23
lenient,3,accelerator_increase,193,0.5146666666666667,0.25,21
lenient,3,no_clear_response,3,0.008,,2
lenient,5,steer_response,365,0.9733333333333334,0.32499999999999574,23
lenient,5,brake_response,197,0.5253333333333333,1.2650000000000006,21
lenient,5,accelerator_release,218,0.5813333333333334,0.3999999999999986,23
lenient,5,accelerator_increase,222,0.592,0.3924999999999841,21
lenient,5,no_clear_response,2,0.005333333333333333,,2
primary,1,steer_response,280,0.7466666666666667,0.35249999999999204,19
primary,1,brake_response,73,0.19466666666666665,0.3849999999999909,17
primary,1,accelerator_release,144,0.384,0.1850000000000307,22
primary,1,accelerator_increase,122,0.3253333333333333,0.09749999999998238,20
primary,1,no_clear_response,53,0.14133333333333334,,15
primary,2,steer_response,329,0.8773333333333333,0.46000000000000796,21
primary,2,brake_response,148,0.39466666666666667,1.0214999999999996,19
primary,2,accelerator_release,172,0.45866666666666667,0.3774999999999977,22
primary,2,accelerator_increase,145,0.38666666666666666,0.17500000000001137,20
primary,2,no_clear_response,21,0.056,,10
primary,3,steer_response,342,0.912,0.47750000000000625,21
primary,3,brake_response,174,0.464,1.1899999999999977,20
primary,3,accelerator_release,183,0.488,0.4350000000000023,22
primary,3,accelerator_increase,166,0.44266666666666665,0.3149999999999977,20
primary,3,no_clear_response,11,0.029333333333333333,,8
primary,5,steer_response,356,0.9493333333333334,0.5024999999999977,23
primary,5,brake_response,194,0.5173333333333333,1.3099999999999987,20
primary,5,accelerator_release,198,0.528,0.539999999999992,23
primary,5,accelerator_increase,192,0.512,0.5799999999999983,20
primary,5,no_clear_response,5,0.013333333333333334,,4
strict,1,steer_response,245,0.6533333333333333,0.4900000000000091,19
strict,1,brake_response,58,0.15466666666666667,0.4300000000000068,16
strict,1,accelerator_release,124,0.33066666666666666,0.23250000000001592,22
strict,1,accelerator_increase,102,0.272,0.15750000000002728,20
strict,1,no_clear_response,72,0.192,,18
strict,2,steer_response,295,0.7866666666666666,0.5649999999999977,19
strict,2,brake_response,138,0.368,1.1449999999999996,18
strict,2,accelerator_release,160,0.4266666666666667,0.5174999999999841,22
strict,2,accelerator_increase,128,0.3413333333333333,0.2750000000000057,20
strict,2,no_clear_response,37,0.09866666666666667,,13
strict,3,steer_response,310,0.8266666666666667,0.5925000000000296,20
strict,3,brake_response,167,0.44533333333333336,1.2700000000000031,20
strict,3,accelerator_release,170,0.4533333333333333,0.5724999999999909,22
strict,3,accelerator_increase,148,0.39466666666666667,0.4500000000000455,20
strict,3,no_clear_response,26,0.06933333333333333,,11
strict,5,steer_response,336,0.896,0.6549999999999869,20
strict,5,brake_response,185,0.49333333333333335,1.3699999999999761,20
strict,5,accelerator_release,186,0.496,0.6425000000000018,23
strict,5,accelerator_increase,175,0.4666666666666667,0.6899999999999977,20
strict,5,no_clear_response,14,0.037333333333333336,,8
