protocol,condition,threshold,calibratable_subjects,subjects_with_later_test,later_test_events,median_test_events_per_subject,action_modes_covered
complete_early_recordings_to_later_recordings,ordinary_minutes,2,26,26,1224,39.5,15
complete_early_recordings_to_later_recordings,ordinary_minutes,5,25,25,1212,42.0,15
complete_early_recordings_to_later_recordings,ordinary_minutes,10,19,19,1070,64.0,15
complete_early_recordings_to_later_recordings,ordinary_minutes,20,14,14,733,49.5,15
complete_early_recordings_to_later_recordings,completed_events,0,26,26,1228,39.5,15
complete_early_recordings_to_later_recordings,completed_events,1,21,21,1158,57.0,15
complete_early_recordings_to_later_recordings,completed_events,3,20,20,1115,58.5,15
complete_early_recordings_to_later_recordings,completed_events,5,19,19,1092,57.0,15
complete_early_recordings_to_later_recordings,completed_events,10,15,15,1033,61.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,2min+1events,21,21,1158,57.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,2min+3events,20,20,1115,58.5,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,2min+5events,19,19,1092,57.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,2min+10events,15,15,1033,61.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,5min+1events,21,21,1152,57.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,5min+3events,20,20,1113,58.5,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,5min+5events,19,19,1092,57.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,5min+10events,15,15,1033,61.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,10min+1events,18,18,1039,61.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,10min+3events,18,18,1036,61.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,10min+5events,17,17,1017,60.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,10min+10events,15,15,969,61.0,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,20min+1events,14,14,733,49.5,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,20min+3events,14,14,733,49.5,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,20min+5events,14,14,733,49.5,15
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,20min+10events,14,14,729,49.5,15
