cohort,stimulus_type,readable_action_mode,events,physiology_available,quality_pass,pre30_coverage_mean,pre60_coverage_mean,post0p4_coverage_mean,post3_coverage_mean
august_2025,enter_lower_mu,松油,1,1,1,1.0,1.0,1.0,1.0
august_2025,enter_lower_mu,补油,1,1,1,1.0,1.0,1.0,1.0
august_2025,enter_lower_mu,转向,2,2,2,1.0,1.0,1.0,1.0
august_2025,enter_lower_mu,转向+制动,6,6,6,1.0,1.0,1.0,1.0
august_2025,enter_lower_mu,转向+制动+松油,1,1,1,1.0,1.0,1.0,1.0
august_2025,enter_lower_mu,转向+制动+补油,7,7,7,1.0,1.0,1.0,1.0
august_2025,enter_lower_mu,转向+松油,4,3,3,0.75,0.75,0.75,0.75
august_2025,enter_lower_mu,转向+松油+补油,4,4,4,1.0,1.0,1.0,1.0
august_2025,enter_lower_mu,转向+补油,2,2,2,1.0,1.0,1.0,1.0
august_2025,exit_lower_mu,转向,3,3,3,1.0,0.8973555555555556,1.0,1.0
august_2025,exit_lower_mu,转向+制动,7,7,7,1.0,1.0,1.0,1.0
august_2025,exit_lower_mu,转向+制动+松油,3,3,3,1.0,1.0,1.0,1.0
august_2025,exit_lower_mu,转向+制动+松油+补油,1,1,1,1.0,1.0,1.0,1.0
august_2025,exit_lower_mu,转向+制动+补油,9,9,9,1.0,1.0,1.0,1.0
august_2025,exit_lower_mu,转向+松油,4,3,3,0.75,0.75,0.75,0.75
august_2025,exit_lower_mu,转向+松油+补油,2,2,2,1.0,1.0,1.0,1.0
august_2025,exit_lower_mu,转向+补油,3,3,3,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger01,制动+补油,1,1,0,1.0,0.995,1.0,1.0
original,distance_threshold_ExternTrigger01,转向,4,4,4,1.0,0.9891666666666666,1.0,1.0
original,distance_threshold_ExternTrigger01,转向+制动,6,6,5,1.0,0.9611111111111111,1.0,1.0
original,distance_threshold_ExternTrigger01,转向+制动+松油,13,13,12,1.0,0.9905128205128205,1.0,1.0
original,distance_threshold_ExternTrigger01,转向+制动+松油+补油,16,15,14,0.9375,0.9105208333333333,0.9375,0.9375
original,distance_threshold_ExternTrigger01,转向+制动+补油,26,21,18,0.8076923076923077,0.7850641025641025,0.8076923076923077,0.8076923076923077
original,distance_threshold_ExternTrigger01,转向+松油,4,4,1,1.0,0.9633333333333334,1.0,1.0
original,distance_threshold_ExternTrigger01,转向+松油+补油,7,7,7,1.0,0.9780952380952381,1.0,1.0
original,distance_threshold_ExternTrigger01,转向+补油,3,2,2,0.6666666666666666,0.6394444444444445,0.6666666666666666,0.6666666666666666
original,distance_threshold_ExternTrigger03,转向,9,9,7,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger03,转向+制动,8,7,7,0.875,0.875,0.875,0.875
original,distance_threshold_ExternTrigger03,转向+制动+松油,16,15,12,0.9375,0.9375,0.9375,0.9375
original,distance_threshold_ExternTrigger03,转向+制动+松油+补油,6,6,6,0.9894444444444445,0.9113888888888889,1.0,1.0
original,distance_threshold_ExternTrigger03,转向+制动+补油,5,5,5,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger03,转向+松油,16,15,12,0.9375,0.9375,0.9375,0.9375
original,distance_threshold_ExternTrigger03,转向+松油+补油,9,9,9,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger03,转向+补油,5,3,3,0.6,0.6,0.6,0.6
original,distance_threshold_ExternTrigger04,转向,6,6,4,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger04,转向+制动,2,1,1,0.5,0.5,0.5,0.5
original,distance_threshold_ExternTrigger04,转向+制动+松油,5,5,4,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger04,转向+制动+松油+补油,13,12,12,0.9230769230769231,0.8946153846153846,0.9230769230769231,0.9230769230769231
original,distance_threshold_ExternTrigger04,转向+制动+补油,21,19,17,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
original,distance_threshold_ExternTrigger04,转向+松油,9,8,7,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
original,distance_threshold_ExternTrigger04,转向+松油+补油,6,6,5,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger04,转向+补油,9,9,8,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger06,转向,10,9,6,0.9,0.8859999999999999,0.9,0.9
original,distance_threshold_ExternTrigger06,转向+制动,3,3,3,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger06,转向+制动+松油,11,10,9,0.9090909090909091,0.8801515151515151,0.9090909090909091,0.9090909090909091
original,distance_threshold_ExternTrigger06,转向+制动+松油+补油,10,10,9,1.0,1.0,1.0,1.0
original,distance_threshold_ExternTrigger06,转向+制动+补油,16,14,13,0.875,0.875,0.875,0.875
original,distance_threshold_ExternTrigger06,转向+松油,11,9,7,0.8181818181818182,0.8036363636363636,0.8181818181818182,0.8181818181818182
original,distance_threshold_ExternTrigger06,转向+松油+补油,13,12,12,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
original,distance_threshold_ExternTrigger06,转向+补油,6,6,6,1.0,1.0,1.0,1.0
original,enter_lower_mu,制动,1,1,1,1.0,1.0,1.0,1.0
original,enter_lower_mu,制动+松油,3,2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
original,enter_lower_mu,制动+补油,3,3,2,1.0,1.0,1.0,1.0
original,enter_lower_mu,无明显反应,8,8,6,1.0,1.0,1.0,1.0
original,enter_lower_mu,松油,6,6,6,1.0,1.0,1.0,1.0
original,enter_lower_mu,松油+补油,2,2,2,1.0,1.0,1.0,1.0
original,enter_lower_mu,补油,7,7,6,1.0,1.0,1.0,1.0
original,enter_lower_mu,转向,81,77,59,0.9453909465020577,0.9387448559670781,0.9506172839506173,0.9506172839506173
original,enter_lower_mu,转向+制动,19,18,18,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
original,enter_lower_mu,转向+制动+松油,55,47,40,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.8545454545454545
original,enter_lower_mu,转向+制动+松油+补油,25,20,17,0.8,0.8,0.8,0.8
original,enter_lower_mu,转向+制动+补油,50,49,44,0.98,0.9762333333333334,0.98,0.98
original,enter_lower_mu,转向+松油,105,95,77,0.9024126984126983,0.8988253968253969,0.9047619047619048,0.9047619047619048
original,enter_lower_mu,转向+松油+补油,49,47,43,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
original,enter_lower_mu,转向+补油,92,86,76,0.9347826086956522,0.9345833333333333,0.9347826086956522,0.9347826086956522
original,exit_lower_mu,制动,2,2,2,1.0,1.0,1.0,1.0
original,exit_lower_mu,制动+补油,3,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
original,exit_lower_mu,松油,2,2,2,1.0,1.0,1.0,1.0
original,exit_lower_mu,松油+补油,1,1,1,1.0,1.0,1.0,1.0
original,exit_lower_mu,补油,2,2,2,1.0,1.0,1.0,1.0
original,exit_lower_mu,转向,98,91,69,0.9198979591836736,0.9060374149659864,0.9285714285714286,0.9285714285714286
original,exit_lower_mu,转向+制动,65,61,56,0.9384615384615385,0.9322051282051282,0.9384615384615385,0.9384615384615385
original,exit_lower_mu,转向+制动+松油,55,46,35,0.8363636363636363,0.8363636363636363,0.8363636363636363,0.8363636363636363
original,exit_lower_mu,转向+制动+松油+补油,20,17,16,0.85,0.85,0.85,0.85
original,exit_lower_mu,转向+制动+补油,118,108,97,0.9152542372881356,0.9141101694915253,0.9152542372881356,0.9152542372881356
original,exit_lower_mu,转向+松油,78,67,49,0.8589743589743589,0.8589743589743589,0.8589743589743589,0.8589743589743589
original,exit_lower_mu,转向+松油+补油,57,49,42,0.8596491228070176,0.8596491228070176,0.8596491228070176,0.8596491228070176
original,exit_lower_mu,转向+补油,116,108,94,0.9310344827586207,0.9304166666666667,0.9310344827586207,0.9310344827586207
