cohort,stimulus_type,readable_action_mode,events,subjects,recordings
august_2025,enter_low_mu_scene,松油,1,1,1
august_2025,enter_low_mu_scene,转向+制动,2,2,2
august_2025,enter_low_mu_scene,转向+制动+松油,1,1,1
august_2025,enter_low_mu_scene,转向+松油,1,1,1
august_2025,enter_low_mu_scene,转向+松油+补油,2,2,2
original,distance_threshold_ExternTrigger01,制动+补油,1,1,1
original,distance_threshold_ExternTrigger01,转向,4,4,4
original,distance_threshold_ExternTrigger01,转向+制动,6,6,6
original,distance_threshold_ExternTrigger01,转向+制动+松油,13,11,13
original,distance_threshold_ExternTrigger01,转向+制动+松油+补油,16,12,16
original,distance_threshold_ExternTrigger01,转向+制动+补油,26,13,26
original,distance_threshold_ExternTrigger01,转向+松油,4,2,4
original,distance_threshold_ExternTrigger01,转向+松油+补油,7,5,7
original,distance_threshold_ExternTrigger01,转向+补油,3,3,3
original,distance_threshold_ExternTrigger03,转向,9,7,9
original,distance_threshold_ExternTrigger03,转向+制动,8,4,8
original,distance_threshold_ExternTrigger03,转向+制动+松油,16,13,16
original,distance_threshold_ExternTrigger03,转向+制动+松油+补油,6,5,6
original,distance_threshold_ExternTrigger03,转向+制动+补油,5,4,5
original,distance_threshold_ExternTrigger03,转向+松油,16,10,16
original,distance_threshold_ExternTrigger03,转向+松油+补油,9,5,9
original,distance_threshold_ExternTrigger03,转向+补油,5,4,5
original,distance_threshold_ExternTrigger04,转向,6,5,6
original,distance_threshold_ExternTrigger04,转向+制动,2,2,2
original,distance_threshold_ExternTrigger04,转向+制动+松油,5,4,5
original,distance_threshold_ExternTrigger04,转向+制动+松油+补油,13,10,13
original,distance_threshold_ExternTrigger04,转向+制动+补油,21,13,21
original,distance_threshold_ExternTrigger04,转向+松油,9,7,9
original,distance_threshold_ExternTrigger04,转向+松油+补油,6,5,6
original,distance_threshold_ExternTrigger04,转向+补油,9,7,9
original,distance_threshold_ExternTrigger06,转向,10,5,10
original,distance_threshold_ExternTrigger06,转向+制动,3,2,3
original,distance_threshold_ExternTrigger06,转向+制动+松油,11,9,11
original,distance_threshold_ExternTrigger06,转向+制动+松油+补油,10,8,10
original,distance_threshold_ExternTrigger06,转向+制动+补油,16,11,16
original,distance_threshold_ExternTrigger06,转向+松油,11,9,11
original,distance_threshold_ExternTrigger06,转向+松油+补油,13,9,13
original,distance_threshold_ExternTrigger06,转向+补油,6,6,6
original,enter_low_mu_scene,制动+松油,1,1,1
original,enter_low_mu_scene,制动+补油,2,2,2
original,enter_low_mu_scene,无明显反应,5,4,5
original,enter_low_mu_scene,松油,4,4,4
original,enter_low_mu_scene,补油,5,4,5
original,enter_low_mu_scene,转向,16,8,16
original,enter_low_mu_scene,转向+制动+松油,7,5,7
original,enter_low_mu_scene,转向+制动+补油,3,3,3
original,enter_low_mu_scene,转向+松油,12,9,12
original,enter_low_mu_scene,转向+松油+补油,4,3,4
original,enter_low_mu_scene,转向+补油,4,4,4
