cohort,channel,recordings_total,recordings_present,unit,sampling_rate_median_hz,missing_fraction_mean,abnormal_fraction_mean,observed_min,observed_max,synchronization,target_1s_complete_fraction,target_2s_complete_fraction,target_3s_complete_fraction,script_direct_control_risk,recommended_role
august_2025,lateral_acceleration,136,136,m/s^2,63.0,0.3709279532515166,0.0,-16.7926,17.4147,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,正式目标
august_2025,lateral_distance,136,136,m,63.0,0.3709279532515166,0.00015576572834456975,-17.4471,124.124,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,辅助目标
august_2025,lateral_velocity,136,136,m/s,63.0,0.3709279532515166,0.0,-29.3094,25.6842,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,辅助目标
august_2025,longitudinal_acceleration,136,136,m/s^2,63.0,0.3709279532515166,0.0,-9.91806,10.9222,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,正式目标
august_2025,position_x,136,34,m,111.0,0.9004198949467881,0.0,0.097346,4164.12,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,解释性目标
august_2025,position_y,136,34,m,111.0,0.9004198949467881,0.0,-193.345,228.268,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,解释性目标
august_2025,roll,136,136,rad,63.0,0.3709279532515166,0.0,-0.84784,1.0639,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,辅助目标
august_2025,roll_rate,136,30,rad/s,67.0,0.9151434663130501,0.0,-3.12484,2.13757,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,分批次辅助目标
august_2025,speed,136,136,km/h,63.0,0.339255785207913,0.0,0.0,172.087,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,正式目标
august_2025,yaw_rate,136,30,rad/s,67.0,0.9151434663130501,0.0,-3.06871,2.20721,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,分批次辅助目标
original,lateral_acceleration,85,85,m/s^2,200.0,0.0,0.0,-16.5414,16.3379,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,正式目标
original,lateral_distance,85,85,m,200.0,0.0,0.004295968119015793,-227.601,345.125,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,辅助目标
original,lateral_velocity,85,85,m/s,200.0,0.0,0.0,-29.7165,31.1603,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,辅助目标
original,longitudinal_acceleration,85,85,m/s^2,200.0,0.0,0.0,-10.9443,10.3123,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,正式目标
original,position_x,85,85,m,200.0,0.0,0.0,0.0758491,9709.18,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,解释性目标
original,position_y,85,85,m,200.0,0.0,0.0,-10110.5,3621.31,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,解释性目标
original,roll,85,85,rad,200.0,0.0,0.0,-1.39071,1.3798,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,辅助目标
original,roll_rate,85,85,rad/s,200.0,0.0,1.8165295585211728e-06,-4.7122,5.94814,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,分批次辅助目标
original,speed,85,85,km/h,200.0,0.0,0.0,0.0,161.353,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,正式目标
original,yaw_rate,85,85,rad/s,200.0,0.0,0.0,-3.18538,4.10609,same_vehicle_csv_row_as_pedals_and_steering,1.0,1.0,1.0,not_directly_fixed_for_ego_vehicle,分批次辅助目标
