protocol,condition,threshold,calibratable_subjects,subjects_with_later_test,later_test_events,median_test_events_per_subject,action_modes_covered
complete_early_recordings_to_later_recordings,ordinary_minutes,2,22,22,320,17.0,12
complete_early_recordings_to_later_recordings,ordinary_minutes,5,21,21,317,18.0,12
complete_early_recordings_to_later_recordings,ordinary_minutes,10,18,18,290,17.0,12
complete_early_recordings_to_later_recordings,ordinary_minutes,20,14,14,205,12.5,12
complete_early_recordings_to_later_recordings,completed_events,0,22,22,320,17.0,12
complete_early_recordings_to_later_recordings,completed_events,1,16,16,300,19.0,12
complete_early_recordings_to_later_recordings,completed_events,3,16,16,278,16.5,12
complete_early_recordings_to_later_recordings,completed_events,5,15,15,274,17.0,12
complete_early_recordings_to_later_recordings,completed_events,10,15,15,193,12.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,2min+1events,16,16,300,19.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,2min+3events,16,16,278,16.5,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,2min+5events,15,15,274,17.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,2min+10events,15,15,193,12.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,5min+1events,16,16,298,19.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,5min+3events,16,16,278,16.5,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,5min+5events,15,15,274,17.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,5min+10events,15,15,193,12.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,10min+1events,16,16,280,17.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,10min+3events,16,16,268,16.5,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,10min+5events,15,15,264,17.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,10min+10events,15,15,193,12.0,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,20min+1events,14,14,205,12.5,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,20min+3events,14,14,205,12.5,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,20min+5events,14,14,205,12.5,12
complete_early_recordings_to_later_recordings,ordinary_plus_completed_events,20min+10events,14,14,177,11.0,11
