model,support_class,subject_count,subject_macro_model_mae_deg_reference_only,subject_macro_floor_ratio,event_count,pooled_model_mae_deg_reference_only,pooled_floor_ratio_reference_only
M0_hold,borderline,18,30.961484747990554,4.032467333742799,454,34.15544395266495,4.448453074187387
M0_hold,dense_overlap,18,16.72406921251973,3.3228373054810714,1755,17.23125913035267,3.423608807830364
M0_hold,out_of_support,17,53.97985285233762,7.030411980530805,114,61.624295287865166,8.02603491841148
M2_vehicle_anchor,borderline,18,17.271207610152533,2.2494263782601784,454,19.20786880087348,2.501659856456553
M2_vehicle_anchor,dense_overlap,18,10.830666226017302,2.1519010308856505,1755,10.855313609735923,2.1567981193311723
M2_vehicle_anchor,out_of_support,17,28.052198701469166,3.6535578259268786,114,33.55387608402249,4.3701040286207835
M3_lgbm,borderline,18,16.958301560179724,2.2086730540796338,454,18.97418170300941,2.4712241200529497
M3_lgbm,dense_overlap,18,10.541687976103876,2.0944851175045858,1755,10.592731171711973,2.1046266824791307
M3_lgbm,out_of_support,17,28.959357769836135,3.771707499286318,114,34.6363720923145,4.511089831720159
M4_hist,borderline,18,16.770645514178586,2.1842324666324173,454,18.666802599337167,2.431190633134532
M4_hist,dense_overlap,18,10.586852258198983,2.1034586250591074,1755,10.654865152250052,2.1169718304121115
M4_hist,out_of_support,17,27.913370208770246,3.6354766077179406,114,33.358448738054,4.344651296132263
