model,amplitude_bin,event_count,subject_count,subject_macro_relative_mae,pooled_mae_deg_reference_only,full_bin_median_release_amplitude_deg_reference_only,pooled_relative_mae_reference_only
B_all3,10_20,101,16,0.4843241940686629,9.49965634672206,18.50270516710174,0.5134198627135171
B_all3,20_30,670,18,0.337728029621526,8.901099363665134,25.999841720867675,0.3423520596481571
B_all3,30_45,1013,18,0.35124402766382945,12.536370898513114,36.12084023022,0.34706753272103386
B_all3,45_70,443,18,0.34354165977258533,18.735088922405154,52.19871299776768,0.35891859868664533
B_all3,ge70,96,14,0.3133069839843982,28.183851021277935,81.03050894213554,0.34781777122249374
R_lowrank_residual,10_20,101,16,0.4819844153832458,9.5003630914029,18.50270516710174,0.5134580595433567
R_lowrank_residual,20_30,670,18,0.3370469723345572,8.892459569897033,25.999841720867675,0.3420197578649056
R_lowrank_residual,30_45,1013,18,0.34954141250096976,12.470558589140365,36.12084023022,0.34524552888742177
R_lowrank_residual,45_70,443,18,0.34118526235217583,18.545725140063034,52.19871299776768,0.3552908505781772
R_lowrank_residual,ge70,96,14,0.3042852517421236,27.61070811814095,81.03050894213554,0.34074459704872334
G_soft_expert_gate,10_20,101,16,0.48682826250326955,9.432598564405339,18.50270516710174,0.5097956476751696
G_soft_expert_gate,20_30,670,18,0.3364075315739574,8.859996721914085,25.999841720867675,0.3407711791877172
G_soft_expert_gate,30_45,1013,18,0.348476417249266,12.447336458013957,36.12084023022,0.344602627698568
G_soft_expert_gate,45_70,443,18,0.3432667003454042,18.611106291585056,52.19871299776768,0.35654339394116813
G_soft_expert_gate,ge70,96,14,0.30710303676831474,27.831713139223424,81.03050894213554,0.3434720268028706
