model,amplitude_bin,subject_macro_relative_mae_over_median_release_amplitude,subject_count,event_count
B_all3,45_70,0.34354165977258533,18,443
B_all3,30_45,0.35124402766382945,18,1013
B_all3,20_30,0.337728029621526,18,670
B_all3,10_20,0.4843241940686629,16,101
B_all3,ge70,0.3133069839843982,14,96
D_disagreement_raw,45_70,0.3424909158091379,18,443
D_disagreement_raw,30_45,0.35004354860875936,18,1013
D_disagreement_raw,20_30,0.33714333482277,18,670
D_disagreement_raw,10_20,0.48545964035745126,16,101
D_disagreement_raw,ge70,0.30943519199269115,14,96
D_disagreement_protected,45_70,0.3439584594876909,18,443
D_disagreement_protected,30_45,0.3511226024512723,18,1013
D_disagreement_protected,20_30,0.33754616621436023,18,670
D_disagreement_protected,10_20,0.4852760373875009,16,101
D_disagreement_protected,ge70,0.30887454878245507,14,96
P_physio_raw,45_70,0.34260554033112806,18,443
P_physio_raw,30_45,0.34987202983135707,18,1013
P_physio_raw,20_30,0.33723813955182236,18,670
P_physio_raw,10_20,0.48458124068846486,16,101
P_physio_raw,ge70,0.30981419104112623,14,96
P_physio_protected,45_70,0.34354165977258533,18,443
P_physio_protected,30_45,0.35124402766382945,18,1013
P_physio_protected,20_30,0.337728029621526,18,670
P_physio_protected,10_20,0.4843241940686629,16,101
P_physio_protected,ge70,0.3133069839843982,14,96
S_style_raw,45_70,0.34255601384689316,18,443
S_style_raw,30_45,0.3499704477949328,18,1013
S_style_raw,20_30,0.3372249640879683,18,670
S_style_raw,10_20,0.4849991443886301,16,101
S_style_raw,ge70,0.309540061176636,14,96
S_style_protected,45_70,0.34354165977258533,18,443
S_style_protected,30_45,0.35124402766382945,18,1013
S_style_protected,20_30,0.337728029621526,18,670
S_style_protected,10_20,0.4843241940686629,16,101
S_style_protected,ge70,0.3133069839843982,14,96
PS_physio_style_raw,45_70,0.3426838423833074,18,443
PS_physio_style_raw,30_45,0.3498236214016403,18,1013
PS_physio_style_raw,20_30,0.3372961233124369,18,670
PS_physio_style_raw,10_20,0.48396024986146413,16,101
PS_physio_style_raw,ge70,0.3102012890748024,14,96
PS_physio_style_protected,45_70,0.34354165977258533,18,443
PS_physio_style_protected,30_45,0.35124402766382945,18,1013
PS_physio_style_protected,20_30,0.337728029621526,18,670
PS_physio_style_protected,10_20,0.4843241940686629,16,101
PS_physio_style_protected,ge70,0.3133069839843982,14,96
