comparison,subject,outer_fold,event_count,reference_mae_deg,candidate_mae_deg,improvement_deg
B_all3_eye_true_vs_B_all3,byx,2,216,12.450467061459667,12.421057964995375,0.029409096464291015
B_all3_eye_true_vs_B_all3,cwh,1,79,10.09289332988368,10.091984965522764,0.0009083643609153902
B_all3_eye_true_vs_B_all3,gf,2,107,9.48301392447265,9.501206834164275,-0.01819290969162601
B_all3_eye_true_vs_B_all3,gzj,4,199,14.437057940187836,14.434358106986469,0.0026998332013684527
B_all3_eye_true_vs_B_all3,hzh,5,187,11.805536088128408,11.8297081947302,-0.02417210660179179
B_all3_eye_true_vs_B_all3,jy,4,80,13.235477886780753,13.358868201385345,-0.12339031460459057
B_all3_eye_true_vs_B_all3,lx,3,61,9.991225943192935,9.982095917903036,0.009130025289899282
B_all3_eye_true_vs_B_all3,lxy,5,118,12.487711327297976,12.53633674043462,-0.04862541313664386
B_all3_eye_true_vs_B_all3,rjy,5,133,13.868025407931166,13.828520530605248,0.03950487732591644
B_all3_eye_true_vs_B_all3,txj,3,157,19.124328729843622,19.17615792037482,-0.05182919053119742
B_all3_eye_true_vs_B_all3,tyy,3,105,15.130924497589177,15.166473725712459,-0.035549228123282046
B_all3_eye_true_vs_B_all3,xst,2,15,8.099216599182538,7.986133771527642,0.11308282765489579
B_all3_eye_true_vs_B_all3,yyl,3,112,10.416633056245404,10.394847559963546,0.021785496281860845
B_all3_eye_true_vs_B_all3,yzy,2,133,11.506294216618716,11.589073656666873,-0.08277944004815749
B_all3_eye_true_vs_B_all3,zdq,5,88,16.208270174100747,16.20938048434073,-0.0011103102399834279
B_all3_eye_true_vs_B_all3,zt,4,26,11.61466120014404,11.585579609277582,0.029081590866457657
B_all3_eye_true_vs_B_all3,zx,1,273,14.750036105089414,14.797952370870053,-0.04791626578064099
B_all3_eye_true_vs_B_all3,zxy,4,234,12.37087107353577,12.352739234503375,0.018131839032396145
B_all3_eye_true_vs_shift_control,byx,2,216,12.496531550727964,12.421057964995375,0.07547358573258675
B_all3_eye_true_vs_shift_control,cwh,1,79,10.124725187209759,10.091984965522764,0.03274022168699496
B_all3_eye_true_vs_shift_control,gf,2,107,9.505633329787132,9.501206834164275,0.004426495622856172
B_all3_eye_true_vs_shift_control,gzj,4,199,14.436019959096761,14.434358106986469,0.0016618521102919523
B_all3_eye_true_vs_shift_control,hzh,5,187,11.850237366976176,11.8297081947302,0.02052917224597595
B_all3_eye_true_vs_shift_control,jy,4,80,13.175753888428977,13.358868201385345,-0.18311431295636657
B_all3_eye_true_vs_shift_control,lx,3,61,9.946439914747048,9.982095917903036,-0.035656003155987735
B_all3_eye_true_vs_shift_control,lxy,5,118,12.521640676671167,12.53633674043462,-0.014696063763453945
B_all3_eye_true_vs_shift_control,rjy,5,133,13.88321550976377,13.828520530605248,0.05469497915852113
B_all3_eye_true_vs_shift_control,txj,3,157,19.202197144249,19.17615792037482,0.026039223874180128
B_all3_eye_true_vs_shift_control,tyy,3,105,15.141715297247046,15.166473725712459,-0.024758428465412256
B_all3_eye_true_vs_shift_control,xst,2,15,8.161503145609856,7.986133771527642,0.17536937408221398
B_all3_eye_true_vs_shift_control,yyl,3,112,10.456667594077725,10.394847559963546,0.06182003411418071
B_all3_eye_true_vs_shift_control,yzy,2,133,11.575201615998738,11.589073656666873,-0.01387204066813433
B_all3_eye_true_vs_shift_control,zdq,5,88,16.239261413982362,16.20938048434073,0.029880929641632466
B_all3_eye_true_vs_shift_control,zt,4,26,11.62273411603234,11.585579609277582,0.03715450675475891
B_all3_eye_true_vs_shift_control,zx,1,273,14.805952530531812,14.797952370870053,0.008000159661756292
B_all3_eye_true_vs_shift_control,zxy,4,234,12.382083671515307,12.352739234503375,0.02934443701193232
shift_control_vs_B_all3,byx,2,216,12.450467061459667,12.496531550727964,-0.04606448926829573
shift_control_vs_B_all3,cwh,1,79,10.09289332988368,10.124725187209759,-0.03183185732607957
shift_control_vs_B_all3,gf,2,107,9.48301392447265,9.505633329787132,-0.022619405314482182
shift_control_vs_B_all3,gzj,4,199,14.437057940187836,14.436019959096761,0.0010379810910765006
shift_control_vs_B_all3,hzh,5,187,11.805536088128408,11.850237366976176,-0.04470127884776774
shift_control_vs_B_all3,jy,4,80,13.235477886780753,13.175753888428977,0.059723998351776
shift_control_vs_B_all3,lx,3,61,9.991225943192935,9.946439914747048,0.04478602844588703
shift_control_vs_B_all3,lxy,5,118,12.487711327297976,12.521640676671167,-0.03392934937318992
shift_control_vs_B_all3,rjy,5,133,13.868025407931166,13.88321550976377,-0.015190101832604691
shift_control_vs_B_all3,txj,3,157,19.124328729843622,19.202197144249,-0.07786841440537753
shift_control_vs_B_all3,tyy,3,105,15.130924497589177,15.141715297247046,-0.010790799657869792
shift_control_vs_B_all3,xst,2,15,8.099216599182538,8.161503145609856,-0.0622865464273182
shift_control_vs_B_all3,yyl,3,112,10.416633056245404,10.456667594077725,-0.04003453783231987
shift_control_vs_B_all3,yzy,2,133,11.506294216618716,11.575201615998738,-0.06890739938002316
shift_control_vs_B_all3,zdq,5,88,16.208270174100747,16.239261413982362,-0.030991239881615895
shift_control_vs_B_all3,zt,4,26,11.61466120014404,11.62273411603234,-0.008072915888301254
shift_control_vs_B_all3,zx,1,273,14.750036105089414,14.805952530531812,-0.055916425442397284
shift_control_vs_B_all3,zxy,4,234,12.37087107353577,12.382083671515307,-0.011212597979536176
