model,amplitude_bin,event_count,subject_count,subject_macro_relative_mae
V_vehicle,20_30,14,9,0.6677687230141914
V_vehicle,30_45,75,20,0.37587245917433754
V_vehicle,45_70,89,22,0.25372035771055396
V_vehicle,ge70,95,24,0.20764754327276927
VP_old16,20_30,14,9,0.6666037546997059
VP_old16,30_45,75,20,0.36379521765157546
VP_old16,45_70,89,22,0.2453814982276241
VP_old16,ge70,95,24,0.21157601348715369
VP_clean16,20_30,14,9,0.6905822739478973
VP_clean16,30_45,75,20,0.3697838199138346
VP_clean16,45_70,89,22,0.24917691036829376
VP_clean16,ge70,95,24,0.2114984714795359
