outer_fold,seed,shift_samples,shift_ms,base_subject_macro_mae_deg,shifted_subject_macro_mae_deg,mae_change_deg
1,20260831,-4,-80,14.914825439453125,17.99701499938965,3.0821895599365234
1,20260831,-2,-40,14.914825439453125,16.689380645751953,1.7745552062988281
1,20260831,2,40,14.914825439453125,14.761573791503906,-0.15325164794921875
1,20260831,4,80,14.914825439453125,14.718097686767578,-0.19672775268554688
2,20260831,-4,-80,19.929101943969727,21.09725570678711,1.1681537628173828
2,20260831,-2,-40,19.929101943969727,20.35721778869629,0.4281158447265625
2,20260831,2,40,19.929101943969727,20.0145263671875,0.08542442321777344
2,20260831,4,80,19.929101943969727,20.521610260009766,0.5925083160400391
3,20260831,-4,-80,19.33036231994629,21.28322982788086,1.9528675079345703
3,20260831,-2,-40,19.33036231994629,20.867055892944336,1.5366935729980469
3,20260831,2,40,19.33036231994629,19.250652313232422,-0.07971000671386719
3,20260831,4,80,19.33036231994629,19.68178939819336,0.3514270782470703
4,20260831,-4,-80,17.99481201171875,17.607521057128906,-0.38729095458984375
4,20260831,-2,-40,17.99481201171875,17.233116149902344,-0.7616958618164062
4,20260831,2,40,17.99481201171875,18.22753143310547,0.23271942138671875
4,20260831,4,80,17.99481201171875,18.758621215820312,0.7638092041015625
5,20260831,-4,-80,16.32284927368164,18.354780197143555,2.031930923461914
5,20260831,-2,-40,16.32284927368164,17.773027420043945,1.4501781463623047
5,20260831,2,40,16.32284927368164,16.7119197845459,0.3890705108642578
5,20260831,4,80,16.32284927368164,17.28037452697754,0.9575252532958984
1,20260832,-4,-80,14.805007934570312,16.880937576293945,2.075929641723633
1,20260832,-2,-40,14.805007934570312,16.498275756835938,1.693267822265625
1,20260832,2,40,14.805007934570312,14.973021507263184,0.1680135726928711
1,20260832,4,80,14.805007934570312,15.068038940429688,0.263031005859375
2,20260832,-4,-80,19.64887237548828,21.21843719482422,1.5695648193359375
2,20260832,-2,-40,19.64887237548828,20.724266052246094,1.0753936767578125
2,20260832,2,40,19.64887237548828,19.687238693237305,0.03836631774902344
2,20260832,4,80,19.64887237548828,20.21225929260254,0.5633869171142578
3,20260832,-4,-80,19.843582153320312,20.853540420532227,1.009958267211914
3,20260832,-2,-40,19.843582153320312,20.672828674316406,0.8292465209960938
3,20260832,2,40,19.843582153320312,20.15056610107422,0.30698394775390625
3,20260832,4,80,19.843582153320312,20.604936599731445,0.7613544464111328
4,20260832,-4,-80,18.772953033447266,18.34424591064453,-0.4287071228027344
4,20260832,-2,-40,18.772953033447266,18.338207244873047,-0.43474578857421875
4,20260832,2,40,18.772953033447266,18.698509216308594,-0.07444381713867188
4,20260832,4,80,18.772953033447266,18.593055725097656,-0.17989730834960938
5,20260832,-4,-80,17.92502784729004,19.450668334960938,1.5256404876708984
5,20260832,-2,-40,17.92502784729004,19.03531265258789,1.1102848052978516
5,20260832,2,40,17.92502784729004,18.418190002441406,0.4931621551513672
5,20260832,4,80,17.92502784729004,18.912261962890625,0.9872341156005859
1,20260833,-4,-80,14.619422912597656,16.812894821166992,2.193471908569336
1,20260833,-2,-40,14.619422912597656,15.668728828430176,1.0493059158325195
1,20260833,2,40,14.619422912597656,14.903185844421387,0.28376293182373047
1,20260833,4,80,14.619422912597656,14.728777885437012,0.10935497283935547
2,20260833,-4,-80,20.569578170776367,21.26592254638672,0.6963443756103516
2,20260833,-2,-40,20.569578170776367,21.004106521606445,0.4345283508300781
2,20260833,2,40,20.569578170776367,20.654949188232422,0.08537101745605469
2,20260833,4,80,20.569578170776367,21.398696899414062,0.8291187286376953
3,20260833,-4,-80,19.675024032592773,21.04836082458496,1.3733367919921875
3,20260833,-2,-40,19.675024032592773,20.587520599365234,0.9124965667724609
3,20260833,2,40,19.675024032592773,19.89898681640625,0.22396278381347656
3,20260833,4,80,19.675024032592773,20.07829475402832,0.4032707214355469
4,20260833,-4,-80,16.90458106994629,17.842647552490234,0.9380664825439453
4,20260833,-2,-40,16.90458106994629,16.949447631835938,0.04486656188964844
4,20260833,2,40,16.90458106994629,17.800966262817383,0.8963851928710938
4,20260833,4,80,16.90458106994629,18.25372314453125,1.349142074584961
5,20260833,-4,-80,16.155502319335938,16.69632339477539,0.5408210754394531
5,20260833,-2,-40,16.155502319335938,16.371706008911133,0.2162036895751953
5,20260833,2,40,16.155502319335938,16.26233673095703,0.10683441162109375
5,20260833,4,80,16.155502319335938,16.681180953979492,0.5256786346435547
